image_path,emotion,emotion_id,split
train/angry/angry_aug00408.jpg,angry,0,train
train/angry/angry_03154.jpg,angry,0,train
train/angry/angry_03259.jpg,angry,0,train
train/angry/angry_03019.jpg,angry,0,train
train/angry/angry_04089.jpg,angry,0,train
train/angry/angry_aug01051.jpg,angry,0,train
train/angry/angry_aug00096.jpg,angry,0,train
train/angry/angry_02205.jpg,angry,0,train
train/angry/angry_aug01148.jpg,angry,0,train
train/angry/angry_02927.jpg,angry,0,train
train/angry/angry_aug00155.jpg,angry,0,train
train/angry/angry_03932.jpg,angry,0,train
train/angry/angry_00494.jpg,angry,0,train
train/angry/angry_aug00130.jpg,angry,0,train
train/angry/angry_aug00604.jpg,angry,0,train
train/angry/angry_00200.jpg,angry,0,train
train/angry/angry_01065.jpg,angry,0,train
train/angry/angry_aug00814.jpg,angry,0,train
train/angry/angry_00823.jpg,angry,0,train
train/angry/angry_01963.jpg,angry,0,train
train/angry/angry_02778.jpg,angry,0,train
train/angry/angry_aug01200.jpg,angry,0,train
train/angry/angry_01926.jpg,angry,0,train
train/angry/angry_03323.jpg,angry,0,train
train/angry/angry_04057.jpg,angry,0,train
train/angry/angry_00113.jpg,angry,0,train
train/angry/angry_03484.jpg,angry,0,train
train/angry/angry_03098.jpg,angry,0,train
train/angry/angry_02526.jpg,angry,0,train
train/angry/angry_03753.jpg,angry,0,train
train/angry/angry_aug00653.jpg,angry,0,train
train/angry/angry_aug00012.jpg,angry,0,train
train/angry/angry_02681.jpg,angry,0,train
train/angry/angry_02106.jpg,angry,0,train
train/angry/angry_03058.jpg,angry,0,train
train/angry/angry_00680.jpg,angry,0,train
train/angry/angry_02928.jpg,angry,0,train
train/angry/angry_01618.jpg,angry,0,train
train/angry/angry_00370.jpg,angry,0,train
train/angry/angry_aug00404.jpg,angry,0,train
train/angry/angry_00344.jpg,angry,0,train
train/angry/angry_04590.jpg,angry,0,train
train/angry/angry_aug00519.jpg,angry,0,train
train/angry/angry_01768.jpg,angry,0,train
train/angry/angry_00565.jpg,angry,0,train
train/angry/angry_aug00406.jpg,angry,0,train
train/angry/angry_aug00588.jpg,angry,0,train
train/angry/angry_04182.jpg,angry,0,train
train/angry/angry_04237.jpg,angry,0,train
train/angry/angry_aug00993.jpg,angry,0,train
train/angry/angry_03658.jpg,angry,0,train
train/angry/angry_00121.jpg,angry,0,train
train/angry/angry_04598.jpg,angry,0,train
train/angry/angry_00944.jpg,angry,0,train
